URL;"Traffic (%)";"Number of Keywords";Traffic;"Adwords Positions";"Positions with commercial intents in top 20";"Positions with informational intents in top 20";"Positions with navigational intents in top 20";"Positions with transactional intents in top 20";"Positions with unknown intents in top 20";"Traffic with commercial intents in top 20";"Traffic with informational intents in top 20";"Traffic with navigational intents in top 20";"Traffic with transactional intents in top 20";"Traffic with unknown intents in top 20"
eevieaspen;0,02;16;80;0;8;6;0;0;0;71;9;0;0;0
afreckledgirl;0,02;13;80;0;4;8;0;0;0;26;54;0;0;0
persephanii;0,02;17;80;0;6;6;1;0;0;25;6;49;0;0
abbylynnxxx;0,02;5;78;0;2;2;0;0;0;76;2;0;0;0
vickystark;0,02;18;78;0;8;10;0;0;0;47;31;0;0;0
jackiee.aphrodite;0,02;13;77;0;5;7;0;0;0;72;5;0;0;0
joefantasies;0,02;5;77;0;1;2;0;1;0;25;52;0;13;0
molly_luvv;0,02;1;77;0;1;0;0;0;0;77;0;0;0;0
youraphroditexxx;0,02;3;77;0;1;0;0;0;0;77;0;0;0;0
batorsparadise;0,02;1;77;0;1;0;0;0;0;77;0;0;0;0
emmamagnoliaxo;0,02;7;76;0;4;4;0;0;0;53;24;0;0;0
marblegirl817;0,02;8;76;0;2;4;1;1;0;60;16;0;0;0
reemarie;0,02;3;75;0;1;2;0;0;0;10;65;0;0;0
stormi.lolz;0,02;1;75;0;0;0;1;0;0;0;0;75;0;0
heylyssten;0,02;7;75;0;5;2;0;0;0;65;10;0;0;0
mikafans;0,02;5;74;0;1;3;0;0;0;56;18;0;0;0
jamelizzzz;0,02;9;74;0;0;7;0;0;0;0;74;0;0;0
sarahclayton;0,02;7;74;0;6;0;0;0;0;74;0;0;0;0
alannarack;0,02;2;73;0;1;0;0;0;0;72;0;0;0;0
versesthetop;0,02;1;72;0;1;0;0;0;0;72;0;0;0;0
vanebabee;0,02;4;72;0;1;3;0;0;0;68;4;0;0;0
peachyyleoo;0,02;1;72;0;1;0;0;0;0;72;0;0;0;0
emtheangel;0,02;1;72;0;1;0;0;0;0;72;0;0;0;0
badbootyof;0,02;1;72;0;1;1;0;0;0;72;72;0;0;0
nofacemom77vip;0,02;1;72;0;1;0;0;0;0;72;0;0;0;0
lamhard;0,02;2;72;0;1;1;0;0;0;57;15;0;0;0
blancitaaa;0,02;1;72;0;1;0;0;0;0;72;0;0;0;0
ashleysoftiktok;0,02;21;71;0;7;11;0;0;0;18;38;0;0;0
excitease;0,02;3;71;0;2;1;0;0;0;71;0;0;0;0
theshybabe2.0;0,02;8;71;0;6;2;0;0;0;64;7;0;0;0
brandi33;0,02;6;70;0;2;3;0;0;0;3;67;0;0;0
barbiedollpr;0,02;1;70;0;1;0;0;0;0;70;0;0;0;0
kayslay22;0,02;2;69;0;1;1;0;0;0;63;6;0;0;0
lexxtheegoddess;0,02;3;68;0;2;1;0;0;0;65;3;0;0;0
jennybelleee;0,02;6;68;0;3;1;1;1;0;68;0;0;0;0
xfrayataylor;0,02;7;68;0;5;0;0;0;0;67;0;0;0;0
bellebrooksxo;0,02;7;68;0;5;2;0;0;0;64;4;0;0;0
pixiebait;0,02;1;68;0;0;1;0;0;0;0;68;0;0;0
bapebaee;0,02;13;68;0;8;3;0;0;0;50;18;0;0;0
urfavbellabby;0,02;11;68;0;2;4;0;0;0;31;37;0;0;0
vippocahontas;0,02;5;68;0;2;2;0;0;0;66;2;0;0;0
tianastummy;0,02;4;68;0;2;2;0;0;0;67;1;0;0;0
jewels.irl;0,02;11;67;0;5;4;0;0;0;49;17;0;0;0
megannlovee;0,02;3;66;0;2;1;0;0;0;65;1;0;0;0
lara.lane;0,02;25;66;0;9;9;2;2;0;36;30;0;0;0
cherylann_gg;0,02;17;66;0;8;7;0;0;0;38;25;0;0;0
geotsak;0,02;1;66;0;1;0;0;0;0;66;0;0;0;0
juicy.alison;0,02;5;66;0;1;0;0;0;0;66;0;0;0;0
arixskye;0,02;1;66;0;1;1;0;0;0;66;66;0;0;0
bhoutdoorgirl;0,02;1;66;0;1;0;0;0;0;66;0;0;0;0
sleepboyx;0,02;2;65;0;1;1;0;0;0;65;0;0;0;0
vipsecretpineapplebabe;0,02;2;65;0;2;0;0;0;0;65;0;0;0;0
brookluv1;0,02;1;65;0;1;0;0;0;0;65;0;0;0;0
southerndianemarie;0,02;20;65;0;4;8;0;0;0;39;25;0;0;0
zoey.johnson;0,02;7;64;0;1;3;0;0;0;59;5;0;0;0
miababeofficial;0,02;1;64;0;1;0;0;0;0;64;0;0;0;0
nofacedhunter;0,02;7;64;0;3;3;0;0;0;60;0;0;0;0
xbig_daddyx;0,02;1;64;0;1;0;0;0;0;64;0;0;0;0
beachcutie;0,02;8;63;0;3;4;0;0;0;5;58;0;0;0
ambergianna;0,02;1;63;0;1;0;0;0;0;63;0;0;0;0
aroomikimfree;0,02;3;63;0;1;2;0;0;0;63;0;0;0;0
nymphyfairyx;0,02;3;63;0;1;2;0;0;0;57;6;0;0;0
diaryofjj;0,02;1;63;0;1;0;0;0;0;63;0;0;0;0
womandriven;0,02;26;63;0;0;26;0;0;0;0;63;0;0;0
jazmen00;0,02;9;62;0;4;4;0;0;0;44;18;0;0;0
realvictoriamae;0,02;5;62;0;4;1;0;0;0;59;3;0;0;0
the-greatest10;0,02;2;60;0;1;0;1;1;0;59;0;1;1;0
chloe_fayeee;0,02;5;60;0;3;1;0;0;0;27;33;0;0;0
kikicherryof;0,02;2;60;0;2;0;0;0;0;60;0;0;0;0
karmavippage;0,02;3;59;0;2;1;0;0;0;57;2;0;0;0
shoryddd;0,02;3;59;0;0;3;0;0;0;0;59;0;0;0
heyheyzoeday;0,02;10;59;0;7;2;1;1;0;59;0;0;0;0
onlyseraphinexxx;0,02;4;59;0;1;3;0;0;0;57;2;0;0;0
thezhailey;0,02;1;59;0;1;0;0;0;0;59;0;0;0;0
littlemissyumee;0,02;1;59;0;0;1;0;0;0;0;59;0;0;0
daybowman92;0,02;15;59;0;8;1;2;2;0;59;0;0;0;0
savagesof;0,02;6;58;0;4;2;0;0;0;57;1;0;0;0
mativip;0,02;9;58;0;6;1;1;1;0;55;0;3;3;0
strawberryshortcakes420;0,02;8;58;0;2;6;0;0;0;45;13;0;0;0
biancaghezzi;0,02;4;58;0;2;2;0;0;0;22;36;0;0;0
cocainktty;0,02;9;58;0;7;1;0;0;0;43;15;0;0;0
selinasiren;0,02;5;58;0;2;0;0;0;0;56;0;0;0;0
yogirllexi03;0,02;2;58;0;1;1;0;0;0;57;1;0;0;0
sunnysunrayss;0,02;5;58;0;3;1;0;0;0;58;0;0;0;0
celinebbyx;0,02;2;57;0;1;1;0;0;0;56;1;0;0;0
tteases13;0,02;2;57;0;1;1;0;0;0;21;36;0;0;0
elliegxo;0,02;13;57;0;10;3;0;0;0;52;5;0;0;0
angelicalyssa222;0,02;3;57;0;1;1;0;0;0;52;5;0;0;0
amelybrown;0,02;1;57;0;1;0;0;0;0;57;0;0;0;0
thereallauracroft;0,02;2;57;0;2;0;0;0;0;57;0;0;0;0
x__rose__x;0,02;1;57;0;1;0;0;0;0;57;0;0;0;0
kittydagoat;0,02;2;57;0;1;1;0;0;0;56;1;0;0;0
heyimbee;0,02;6;57;0;1;5;0;0;0;1;56;0;0;0
asian.candy;0,02;36;57;0;5;15;0;0;0;4;53;0;0;0
jennaroberts;0,02;3;57;0;0;1;1;1;0;0;56;1;1;0
idkwhojuneis;0,02;1;57;0;1;0;0;0;0;57;0;0;0;0
jordanfromvegaz;0,02;9;57;0;2;4;1;0;0;2;28;27;0;0
justinexjuicy;0,02;4;57;0;1;3;0;0;0;57;0;0;0;0
wrendosia;0,02;1;57;0;1;0;0;0;0;57;0;0;0;0
exactly_that_woman;0,02;2;57;0;1;0;1;1;0;57;0;0;0;0
emmadavvis;0,02;2;56;0;2;0;0;0;0;56;0;0;0;0
scarlettkissesxo;0,02;15;56;0;4;11;0;1;0;3;53;0;0;0
ariajane;0,02;4;56;0;3;0;0;0;0;56;0;0;0;0
nacrevictoire;0,02;6;56;0;1;4;0;0;0;45;11;0;0;0
rose.harrt;0,01;15;55;0;4;11;0;0;0;5;50;0;0;0
spicylittlebunny;0,01;6;55;0;5;1;0;0;0;45;10;0;0;0
angelbxbylove;0,01;4;55;0;4;0;0;0;0;55;0;0;0;0
itskasloll;0,01;5;54;0;3;2;0;0;0;34;20;0;0;0
faithfree;0,01;6;54;0;2;2;1;1;0;39;15;0;0;0
hotwife_ellie;0,01;4;54;0;1;2;0;0;0;3;51;0;0;0
angeldina;0,01;3;53;0;3;0;0;0;0;53;0;0;0;0
katyrae16;0,01;21;53;0;8;11;0;0;0;13;40;0;0;0
tay_bjj;0,01;7;53;0;6;1;0;0;0;51;2;0;0;0
amy.bell;0,01;19;53;0;6;10;1;0;0;14;39;0;0;0
xoxolivia;0,01;4;53;0;0;4;0;0;0;0;53;0;0;0
shades.of.violet;0,01;3;53;0;3;0;0;0;0;53;0;0;0;0
lilianaheartsss;0,01;16;53;0;2;9;0;0;0;2;51;0;0;0
alina.rose9;0,01;31;52;0;8;18;2;0;0;16;32;4;0;0
brittneyscabaret;0,01;24;52;0;9;12;0;0;0;3;48;0;0;0
online_gf111;0,01;1;52;0;1;0;0;0;0;52;0;0;0;0
asaakira;0,01;9;52;0;0;5;2;1;0;0;19;33;26;0
aonisty_blackrose;0,01;1;52;0;1;0;0;0;0;52;0;0;0;0
skylarmaexo;0,01;27;52;0;2;0;0;0;0;3;0;0;0;0
lexitexan;0,01;10;52;0;4;5;0;0;0;30;22;0;0;0
oliviamaebaee;0,01;11;52;0;4;5;0;0;0;30;22;0;0;0
dystorra;0,01;6;52;0;4;2;0;0;0;6;46;0;0;0
previse;0,01;3;52;0;1;1;0;0;0;52;0;0;0;0
kit-kit;0,01;1;52;0;1;0;0;0;0;52;0;0;0;0
crystal.sunshine;0,01;15;51;0;7;6;0;0;0;40;11;0;0;0
angelkesabel;0,01;12;51;0;7;2;0;0;0;42;9;0;0;0
zartprickelnd;0,01;11;51;0;5;5;0;0;0;4;47;0;0;0
vegasissa;0,01;3;51;0;1;2;0;0;0;35;16;0;0;0
mrspoindexter;0,01;23;51;0;0;8;0;0;0;0;50;0;0;0
ltfitt;0,01;2;51;0;1;1;0;0;0;0;51;0;0;0
courtney2cream;0,01;1;51;0;1;0;0;0;0;51;0;0;0;0
phatassedangel69;0,01;3;51;0;2;1;0;0;0;51;0;0;0;0
xxxluver;0,01;5;50;0;4;1;0;0;0;38;12;0;0;0
annacelestex;0,01;5;50;0;1;3;1;0;0;9;41;0;0;0
montanablue;0,01;19;50;0;15;0;0;0;0;48;0;0;0;0
cottontailva;0,01;15;50;0;8;7;0;0;0;40;10;0;0;0
candidlycam;0,01;4;50;0;0;3;0;0;0;0;46;0;0;0
yaz.flexy;0,01;6;50;0;3;2;0;0;0;0;50;0;0;0
lizkatzofficial;0,01;7;49;0;0;5;2;0;0;0;32;17;0;0
sexualmastery;0,01;3;49;0;1;2;0;0;0;49;0;0;0;0
waifumiia;0,01;44;49;0;2;6;0;0;0;1;1;0;0;0
soogsx2;0,01;2;49;0;1;1;0;0;0;48;1;0;0;0
nycbisexcouple;0,01;3;49;0;1;1;0;0;0;0;45;0;0;0
kazumisworld;0,01;16;49;0;2;9;0;0;0;12;35;0;0;0
itsella15101999;0,01;2;49;0;1;1;0;0;0;48;1;0;0;0
theemilkmarie33;0,01;5;49;0;3;1;0;0;0;49;0;0;0;0
cupcakebabygirl;0,01;1;48;0;0;1;0;0;0;0;48;0;0;0
petitetigresse06;0,01;11;48;0;6;5;0;0;0;39;9;0;0;0
brynnwoods;0,01;13;48;0;4;5;0;0;0;24;9;0;0;0
danielasvip;0,01;1;48;0;1;0;0;0;0;48;0;0;0;0
shaniaperrett;0,01;7;48;0;1;5;1;1;0;36;11;1;1;0
pebbelzdamodel;0,01;4;48;0;1;1;0;0;0;45;3;0;0;0
babyrayxxx;0,01;5;48;0;4;1;0;0;0;47;1;0;0;0
mackenzie.rayy;0,01;22;48;0;11;9;0;0;0;26;21;0;0;0
mom_being_mom;0,01;5;48;0;2;3;0;0;0;0;48;0;0;0
u131475585;0,01;7;48;0;4;1;0;0;0;48;0;0;0;0
itslunarliv;0,01;14;48;0;1;5;0;1;0;1;4;0;0;0
lacikaysomers;0,01;17;48;0;5;1;9;0;0;2;0;46;0;0
tiannaann;0,01;4;48;0;1;2;0;0;0;45;3;0;0;0
tbaybee89;0,01;1;48;0;1;0;0;0;0;48;0;0;0;0
shyrhiannon21;0,01;1;48;0;1;0;0;0;0;48;0;0;0;0
tinytessxx;0,01;1;48;0;0;1;0;0;0;0;48;0;0;0
francesca.farago;0,01;4;48;0;1;2;1;1;0;3;44;1;1;0
hauntedquinn;0,01;6;48;0;5;0;0;0;0;48;0;0;0;0
emtheprincesss;0,01;2;48;0;2;0;0;0;0;48;0;0;0;0
dad2daddy;0,01;3;48;0;2;0;1;1;0;48;0;0;0;0
mikkimarie;0,01;11;47;0;3;6;0;0;0;11;36;0;0;0
trukait;0,01;12;47;0;3;4;0;0;0;4;43;0;0;0
catberg;0,01;6;47;0;5;0;0;0;0;44;0;0;0;0
milaflorabella;0,01;4;47;0;2;1;1;1;0;41;5;1;1;0
stellaaeternum;0,01;5;47;0;3;2;0;0;0;45;2;0;0;0
juicyjade9;0,01;6;47;0;1;2;0;0;0;38;1;0;0;0
prettyskinboi;0,01;3;47;0;0;3;0;0;0;0;47;0;0;0
julia.burch;0,01;8;47;0;3;3;2;0;0;5;0;42;0;0
anniesgarage;0,01;13;47;0;8;4;0;0;0;44;3;0;0;0
candyxava;0,01;6;47;0;1;1;0;0;0;46;1;0;0;0
crooksxo;0,01;5;47;0;2;2;0;0;0;12;35;0;0;0
jasminedaze888;0,01;9;46;0;1;1;0;0;0;46;0;0;0;0
loverlaci;0,01;10;46;0;3;6;0;0;0;11;23;0;0;0
unkn0wn467;0,01;2;46;0;1;1;0;0;0;4;42;0;0;0
hugecockrandy;0,01;1;46;0;1;0;0;0;0;46;0;0;0;0
annieecharlottee;0,01;3;46;0;1;0;0;0;0;46;0;0;0;0
quinn.doll;0,01;33;46;0;3;13;2;1;0;0;24;19;11;0
goddesseros;0,01;2;46;0;1;0;0;0;0;46;0;0;0;0
amirahdyme;0,01;7;46;0;2;5;0;0;0;19;27;0;0;0
marsmallowman;0,01;3;46;0;0;2;0;0;0;0;46;0;0;0
justkeik;0,01;8;46;0;5;2;0;0;0;45;1;0;0;0
babyhothubx;0,01;7;45;0;5;2;0;0;0;33;12;0;0;0
ethereallovebug;0,01;10;45;0;3;3;0;0;0;43;0;0;0;0
poutyky;0,01;3;45;0;3;0;0;0;0;45;0;0;0;0
lucyinthe_;0,01;5;45;0;2;2;0;0;0;39;5;0;0;0
daisiegirl;0,01;7;45;0;5;2;0;0;0;40;5;0;0;0
katsatease;0,01;2;45;0;2;0;0;0;0;45;0;0;0;0
bigdixxxdaddy;0,01;1;45;0;0;1;0;0;0;0;45;0;0;0
missjohndough;0,01;1;45;0;1;0;0;0;0;45;0;0;0;0
pencilsandrulers;0,01;3;45;0;1;1;0;0;0;42;3;0;0;0
harleyxwest;0,01;13;45;0;4;2;2;1;0;4;1;40;39;0
jenniferxsanchez;0,01;1;45;0;1;0;0;0;0;45;0;0;0;0
brialora;0,01;3;45;0;1;2;0;0;0;31;14;0;0;0
girlwithbulge;0,01;1;45;0;0;1;0;0;0;0;45;0;0;0
lollipopginger;0,01;11;45;0;1;7;0;0;0;40;5;0;0;0
lovelyhime;0,01;1;44;0;0;0;1;1;0;0;0;44;44;0
lingerieangel;0,01;4;44;0;3;1;0;0;0;37;7;0;0;0
tokyorey;0,01;1;44;0;0;1;0;0;0;0;44;0;0;0
nanawithlemon;0,01;1;44;0;1;0;0;0;0;44;0;0;0;0
audreyandsadie;0,01;8;44;0;5;2;0;0;0;41;3;0;0;0
xxxtimixxx;0,01;1;44;0;1;0;0;0;0;44;0;0;0;0
khlo_x;0,01;10;44;0;5;4;0;0;0;31;13;0;0;0
yours_kat;0,01;5;44;0;1;2;2;2;0;22;22;0;0;0
josefinesilver;0,01;6;44;0;3;1;1;2;0;43;1;0;0;0
jaimee.anne;0,01;13;44;0;10;1;0;0;0;42;2;0;0;0
naduhlycabral;0,01;11;44;0;6;5;0;0;0;30;14;0;0;0
alexisfoxxie;0,01;4;43;0;1;3;0;0;0;39;4;0;0;0
stephjc;0,01;15;43;0;3;8;0;0;0;3;31;0;0;0
mastermarcelo5;0,01;6;43;0;1;3;0;0;0;39;4;0;0;0
juliana_lanson;0,01;2;43;0;1;1;0;0;0;42;1;0;0;0
madamxunique;0,01;2;43;0;1;1;0;0;0;42;1;0;0;0
violetsummerstv;0,01;6;43;0;0;3;2;1;0;0;3;40;14;0
marleyywynn;0,01;17;43;0;6;3;0;1;0;42;1;0;0;0
delicesucre06;0,01;7;43;0;5;3;0;0;0;42;2;0;0;0
queenofhartsx;0,01;2;43;0;2;0;0;0;0;43;0;0;0;0
taboo-mom-bro-sis;0,01;10;43;0;1;6;0;0;0;2;41;0;0;0
freeoakleyrae;0,01;9;43;0;7;2;0;0;0;38;5;0;0;0
yesitsmeofcourse;0,01;1;42;0;1;0;0;0;0;42;0;0;0;0
